City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bubaque,GW,11.2833,-15.8333,82.33,74,97,8.14,overcast clouds
80,Touros,BR,-5.1989,-35.4608,76.1,74,8,14.45,clear sky
81,Upernavik,GL,72.7868,-56.1549,15.26,49,22,5.57,few clouds
82,Phan Thiet,VN,10.9333,108.1,74.59,93,100,6.13,moderate rain
83,Yarim,YE,14.298,44.3779,53.04,26,0,4.94,clear sky
84,Poum,NC,-20.2333,164.0167,74.98,72,99,4.36,overcast clouds
85,Guerrero Negro,MX,27.9769,-114.0611,69.22,54,0,20.8,clear sky
86,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,27,12.68,scattered clouds
87,Okhotsk,RU,59.3833,143.3,21.81,86,100,5.79,overcast clouds
88,Jamestown,US,42.097,-79.2353,44.19,99,90,7.0,overcast clouds
89,Cape Town,ZA,-33.9258,18.4232,68.41,64,0,5.99,clear sky
90,Severo-Kurilsk,RU,50.6789,156.125,44.38,85,100,3.11,overcast clouds
91,Uruguaiana,BR,-29.7547,-57.0883,85.93,39,0,3.44,clear sky
92,Luba,GQ,3.4568,8.5547,78.69,86,83,5.35,broken clouds
93,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.4,75,1,0.0,clear sky
94,Castro,BR,-24.7911,-50.0119,62.69,76,100,3.36,overcast clouds
95,Bow Island,CA,49.8668,-111.3684,60.01,29,0,13.8,clear sky
96,Severnyy-Kospashskiy,RU,59.0925,57.8008,29.61,93,99,4.09,light snow
97,Nome,US,64.5011,-165.4064,24.87,74,90,5.75,light snow
98,Chunhuhub,MX,19.55,-88.6833,85.42,68,98,5.99,overcast clouds
99,East London,ZA,-33.0153,27.9116,66.7,84,93,19.89,light rain
100,Na Wa,TH,17.4897,104.1006,65.91,88,99,3.15,overcast clouds
101,Korla,CN,41.7597,86.1469,45.1,42,0,3.4,clear sky
102,Metro,ID,-5.1131,105.3067,75.02,91,100,3.38,overcast clouds
103,Eureka,US,40.8021,-124.1637,60.37,76,100,5.01,overcast clouds
104,Nicoya,CR,10.1483,-85.452,83.75,80,62,3.96,broken clouds
105,Broken Hill,AU,-31.95,141.4333,64.11,15,28,11.5,scattered clouds
106,Pisco,PE,-13.7,-76.2167,66.25,68,0,24.16,clear sky
107,Evensk,RU,61.95,159.2333,8.73,78,2,7.72,clear sky
108,Mahibadhoo,MV,3.7833,72.9667,81.7,77,99,12.24,overcast clouds
