City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chokurdakh,RU,2021-10-20 21:29:55,70.6333,147.9167,-16.38,96,94,2.71
68,Qaanaaq,GL,2021-10-20 21:29:56,77.484,-69.3632,17.1,93,71,3.8
69,Batemans Bay,AU,2021-10-20 21:29:56,-35.7167,150.1833,62.98,88,97,4.72
70,Ambon,ID,2021-10-20 21:29:57,-3.6954,128.1814,77.14,88,20,5.75
71,Ribeira Grande,PT,2021-10-20 21:29:57,38.5167,-28.7,64.8,82,20,5.75
72,East London,ZA,2021-10-20 21:29:57,-33.0153,27.9116,63.97,83,35,14.03
73,Saldanha,ZA,2021-10-20 21:29:58,-33.0117,17.9442,59.05,85,64,16.4
74,Saint-Philippe,RE,2021-10-20 21:29:58,-21.3585,55.7679,72.95,79,42,11.23
75,Ornskoldsvik,SE,2021-10-20 21:29:59,63.2909,18.7153,40.15,93,90,3.44
76,Cleves,DE,2021-10-20 21:26:26,51.7833,6.15,60.33,71,98,12.48
77,Lewiston,US,2021-10-20 21:29:59,44.1003,-70.2148,61.14,66,46,1.83
78,Necochea,AR,2021-10-20 21:30:00,-38.5473,-58.7368,66.79,70,2,7.54
79,Hasaki,JP,2021-10-20 21:26:51,35.7333,140.8333,46.8,56,98,14.76
80,Chuy,UY,2021-10-20 21:30:01,-33.6971,-53.4616,59.2,68,64,9.91
81,Okoneshnikovo,RU,2021-10-20 21:30:02,54.8377,75.0834,43.29,59,85,8.63
82,Kodiak,US,2021-10-20 21:30:03,57.79,-152.4072,43.65,84,98,6.55
83,Sterling,US,2021-10-20 21:26:48,39.0062,-77.4286,76.86,48,1,7.0
84,Kruisfontein,ZA,2021-10-20 21:30:04,-34.0033,24.7314,58.89,76,35,3.67
85,Hithadhoo,MV,2021-10-20 21:30:05,-0.6,73.0833,81.09,77,100,11.21
86,Souillac,MU,2021-10-20 21:30:06,-20.5167,57.5167,74.35,78,75,8.05
87,Tuktoyaktuk,CA,2021-10-20 21:30:08,69.4541,-133.0374,26.6,86,75,9.22
88,Urumqi,CN,2021-10-20 21:30:09,43.801,87.6005,41.95,53,0,2.24
89,Bluff,NZ,2021-10-20 21:30:09,-46.6,168.3333,48.42,55,100,3.65
90,Clyde River,CA,2021-10-20 21:30:10,70.4692,-68.5914,30.43,93,75,5.75
91,Torbay,CA,2021-10-20 21:30:11,47.6666,-52.7314,49.57,96,90,11.5
92,Gornopravdinsk,RU,2021-10-20 21:30:12,60.05,69.9,36.55,96,100,7.47
93,Pointe-Noire,CG,2021-10-20 21:30:13,-4.7761,11.8635,77.07,88,75,5.75
94,Harper,LR,2021-10-20 21:30:13,4.375,-7.7169,77.92,86,60,8.48
95,Florianopolis,BR,2021-10-20 21:26:52,-27.6146,-48.5012,63.63,54,75,6.91
96,Arraial Do Cabo,BR,2021-10-20 21:30:14,-22.9661,-42.0278,62.56,88,75,5.75
97,Jardim,BR,2021-10-20 21:30:15,-21.4803,-56.1381,77.7,44,3,8.43
98,Saint-Denis,FR,2021-10-20 21:30:16,48.9167,2.3333,65.17,79,90,8.01
99,Najran,SA,2021-10-20 21:30:16,17.4924,44.1277,70.45,30,5,2.91
100,Bembereke,BJ,2021-10-20 21:30:17,10.2283,2.6634,73.83,87,92,4.94
101,Sri Aman,MY,2021-10-20 21:30:17,1.2376,111.4621,77.09,94,94,0.0
102,Anloga,GH,2021-10-20 21:30:18,5.7947,0.8973,80.82,82,100,12.66
103,Puerto Ayora,EC,2021-10-20 21:30:19,-0.7393,-90.3518,82.36,80,97,10.0
104,Atuona,PF,2021-10-20 21:30:19,-9.8,-139.0333,76.87,82,16,15.03
105,Yushala,RU,2021-10-20 21:30:20,57.0761,64.2601,31.75,97,100,12.26
106,Saint-Michel-Des-Saints,CA,2021-10-20 21:30:20,46.6834,-73.9159,55.6,79,19,3.13
107,Karratha,AU,2021-10-20 21:30:21,-20.7377,116.8463,69.91,39,1,8.75
108,Comodoro Rivadavia,AR,2021-10-20 21:30:01,-45.8667,-67.5,78.66,21,75,23.02
109,Palampur,IN,2021-10-20 21:30:22,32.1167,76.5333,60.35,44,0,6.4
110,Cervo,ES,2021-10-20 21:30:22,43.6702,-7.4101,60.96,72,97,14.85
111,Kapaa,US,2021-10-20 21:30:22,22.0752,-159.319,81.48,68,20,1.99
112,Olafsvik,IS,2021-10-20 21:30:23,64.8945,-23.7142,43.23,73,100,22.12
113,Lompoc,US,2021-10-20 21:30:23,34.6391,-120.4579,78.01,53,1,16.11
114,Vostok,RU,2021-10-20 21:30:24,46.4856,135.8833,16.56,78,6,3.18
115,Yar-Sale,RU,2021-10-20 21:30:24,66.8333,70.8333,28.56,86,86,5.97
116,Butaritari,KI,2021-10-20 21:30:25,3.0707,172.7902,81.46,74,28,9.73
117,Brae,GB,2021-10-20 21:30:25,60.3964,-1.353,44.51,69,100,37.18
118,Uchiza,PE,2021-10-20 21:30:26,-8.4592,-76.4633,80.24,75,92,0.2
119,Castro,BR,2021-10-20 21:30:26,-24.7911,-50.0119,53.42,89,72,7.05
120,Chaibasa,IN,2021-10-20 21:30:27,22.5667,85.8167,71.2,84,85,3.62
121,Finschhafen,PG,2021-10-20 21:30:27,-6.6024,147.8681,83.03,69,87,3.29
122,Mackay,AU,2021-10-20 21:26:21,-21.15,149.2,75.04,83,75,1.14
123,Mahebourg,MU,2021-10-20 21:30:28,-20.4081,57.7,74.25,78,75,8.05
124,Dolinsk,RU,2021-10-20 21:30:28,47.35,142.8,33.66,76,100,9.62
125,Christchurch,NZ,2021-10-20 21:25:33,-43.5333,172.6333,54.95,71,20,1.01
126,Saint Anthony,US,2021-10-20 21:30:29,45.0205,-93.218,56.14,92,90,5.01
127,Viransehir,TR,2021-10-20 21:30:30,37.2353,39.7631,63.1,30,0,6.73
128,Policoro,IT,2021-10-20 21:30:30,40.2115,16.6726,62.91,72,0,5.08
129,Cherskiy,RU,2021-10-20 21:30:31,68.75,161.3,-7.08,100,100,5.19
130,Imbituba,BR,2021-10-20 21:30:31,-28.24,-48.6703,66.09,72,99,7.14
131,Lagoa,PT,2021-10-20 21:30:32,39.05,-27.9833,68.63,61,39,2.68
132,San Patricio,US,2021-10-20 21:30:32,28.017,-97.5169,90.01,51,22,8.48
133,Boralday,KZ,2021-10-20 21:30:33,43.3578,76.8594,51.66,46,75,2.24
134,Saint-Georges,GD,2021-10-20 21:30:33,12.0564,-61.7485,83.88,79,20,17.27
135,Topolevo,RU,2021-10-20 21:30:34,48.4994,135.1975,19.58,86,0,8.95
136,Piacabucu,BR,2021-10-20 21:30:34,-10.4056,-36.4344,78.17,83,17,13.15
137,Pampa,US,2021-10-20 21:30:34,35.5362,-100.9599,70.75,30,1,5.75
138,Namibe,AO,2021-10-20 21:30:35,-15.1961,12.1522,67.35,89,35,7.2
139,Son La,VN,2021-10-20 21:30:36,21.3167,103.9,68.94,95,96,2.19
140,Constitucion,CL,2021-10-20 21:30:36,-35.3333,-72.4167,56.05,77,11,5.3
141,Cap Malheureux,MU,2021-10-20 21:30:36,-19.9842,57.6142,74.46,73,41,5.99
142,Verkhnevilyuysk,RU,2021-10-20 21:30:37,63.4453,120.3167,26.55,94,99,5.73
143,Ponta Do Sol,PT,2021-10-20 21:30:37,32.6667,-17.1,74.03,79,100,6.33
144,New Norfolk,AU,2021-10-20 21:30:38,-42.7826,147.0587,53.1,79,89,4.27
145,Rawson,AR,2021-10-20 21:30:38,-43.3002,-65.1023,75.43,26,9,31.23
146,Isangel,VU,2021-10-20 21:30:39,-19.55,169.2667,80.71,78,100,8.05
147,Kavaratti,IN,2021-10-20 21:26:19,10.5669,72.642,81.88,74,99,10.22
148,Toamasina,MG,2021-10-20 21:30:39,-18.1667,49.3833,69.8,94,40,2.3
149,Pisco,PE,2021-10-20 21:30:40,-13.7,-76.2167,66.25,72,0,20.71
